1,-0.527
2,-0.472
3,-0.485
4,-0.463
5,-0.441
6,-0.463
7,-0.465
8,-0.505
9,-0.431
10,-0.394
11,-0.417
12,-0.394
13,-0.377
14,-0.376
15,-0.33
16,-0.327
17,-0.301
18,-0.332
19,-0.331
20,-0.335
21,-0.327
22,-0.305
23,-0.286
24,-0.304
25,-0.3
26,-0.281
27,-0.286
28,-0.284
29,-0.275
30,-0.274
31,-0.274
32,-0.268
33,-0.244
34,-0.259
35,-0.271
36,-0.261
37,-0.257
38,-0.26
39,-0.206
40,-0.26
41,-0.246
42,-0.26
43,-0.21
44,-0.234
45,-0.213
46,-0.208
47,-0.203
48,-0.202
49,-0.202
50,-0.173
51,-0.188
52,-0.182
53,-0.199
54,-0.191
55,-0.186
56,-0.181
57,-0.166
58,-0.173
59,-0.179
60,-0.173
